Tag,List,Class,Drawn_out_level,Successful_apps_at_DOL,Total_apps_at_DOL,Chance_at_DOL,Chance_with_First_choice,Animal,Sex,UnitCode,SeasonCode,Weapon,SeasonWeapon,DOL,Quota,Choice 1 Applicants,Dates,Notes,New,HD,hybrid,PLO,RFW,NoApps,nopoints,Valid GMUs,harvestunit,Total_Acres,Public_Acres,Public_Percent,Drawn_out_level24,Chance_at_DOL24,Drawn_out_level23,Chance_at_DOL23,Chance_at_DOLN,DOLE25,Chance_at_DOLN24,DOL24,DOLE24,Chance_at_DOLN23,DOL23,DOL3,DOLE23,slope,predictedDrawnOut,PredPrefPoints,Predpercent,PredPrefPercent
DM044E1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 5-13,Holy Cross Wilderness See Brochure,New,High Demand,No,No,No,NA,N,"44,45,444","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1166019,904202,77.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM047E1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 5-13,Hunter-Fryingpan WA See Brochure,New,No,No,No,No,NA,N,47,No Harvest Stats Available,313938,287199,91.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM048E1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 5-13,Above Timberline See Brochure,New,High Demand,No,No,No,NA,N,"48,56,481,561","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1005432,832466,82.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM065E1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 5-13,"Above 11,000 Feet See Brochure",New,No,No,No,No,NA,N,65,No Harvest Stats Available,697180,369556,53%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM074E1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 5-13,"Above 11,000 feet See Brochure",New,No,No,No,No,NA,N,74,No Harvest Stats Available,607210,525831,86.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM082E1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 5-13,Above Timberline See Brochure,New,No,No,No,No,NA,N,"82,86,861","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1845662,984960,53.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM471E1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 5-13,,New,No,No,No,No,NA,N,471,No Harvest Stats Available,110661,99103,89.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM006E2R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sep.29-Oct.7,,New,No,No,No,No,NA,N,6,No Harvest Stats Available,395314,272014,68.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF043K1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,Youth Only,New,No,No,No,No,NA,N,"43,47,431,471","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1220926,967723,79.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF043K2R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov.  1,Youth Only,New,No,No,No,No,NA,N,"43,47,431,471","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1220926,967723,79.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF043K3R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nov. 7-15,Youth Only,New,No,No,No,No,NA,N,"43,47,431,471","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1220926,967723,79.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF087L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,87,No Harvest Stats Available,1248233,181201,14.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF088L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,88,No Harvest Stats Available,767825,120087,15.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF089L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,89,No Harvest Stats Available,865193,37566,4.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF090L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,90,No Harvest Stats Available,419556,8355,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF091L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,91,No Harvest Stats Available,85614,15353,17.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF092L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,92,No Harvest Stats Available,64727,5084,7.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF093L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,93,No Harvest Stats Available,1056279,8025,0.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF094L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,94,No Harvest Stats Available,809651,592,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF095L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,95,No Harvest Stats Available,823374,17536,2.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF096L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,96,No Harvest Stats Available,275182,11966,4.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF097L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,97,No Harvest Stats Available,654600,89,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF098L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,98,No Harvest Stats Available,1977182,4754,0.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF099L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,99,No Harvest Stats Available,1803504,4875,0.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF100L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,100,No Harvest Stats Available,1155868,85,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF101L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,101,No Harvest Stats Available,746795,730,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF102L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,102,No Harvest Stats Available,802632,11592,1.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF103L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,103,No Harvest Stats Available,139159,10724,7.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF104L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains   Landowner permission is advisable before applying. Most land is private.,New,No,No,No,No,NA,N,104,No Harvest Stats Available,1569733,63621,4.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF105L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,"105,106","No Harvest Stats Available,No Harvest Stats Available",1870866,3465,0.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF107L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,107,No Harvest Stats Available,1335793,1090,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF109L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,109,No Harvest Stats Available,1120275,475,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF116L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,116,No Harvest Stats Available,1022639,0,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF117L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,117,No Harvest Stats Available,477253,63,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF122L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,"122,127,132","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",2870162,43370,1.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF125L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,"125,130","No Harvest Stats Available,No Harvest Stats Available",1090833,115549,10.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF126L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,"126,146","No Harvest Stats Available,No Harvest Stats Available",1660961,52444,3.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF129L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains   Landowner permission is advisable before applying. Most land is private.,New,No,No,No,No,NA,N,129,No Harvest Stats Available,250386,526,0.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF136L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,136,No Harvest Stats Available,579521,36609,6.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF137L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,"137,138,143,144","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",2251057,299799,13.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF139L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,"139,145","No Harvest Stats Available,No Harvest Stats Available",1532114,102477,6.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF141L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,141,No Harvest Stats Available,241723,594,0.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF142L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,142,No Harvest Stats Available,375065,477,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF147L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,147,No Harvest Stats Available,327593,11831,3.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF951L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,951,No Harvest Stats Available,998103,20723,2.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM087L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,87,No Harvest Stats Available,1248233,181201,14.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM088L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,88,No Harvest Stats Available,767825,120087,15.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM089L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,89,No Harvest Stats Available,865193,37566,4.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM090L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,90,No Harvest Stats Available,419556,8355,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM091L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,91,No Harvest Stats Available,85614,15353,17.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM092L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,92,No Harvest Stats Available,64727,5084,7.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM093L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,93,No Harvest Stats Available,1056279,8025,0.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM094L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,94,No Harvest Stats Available,809651,592,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM095L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,95,No Harvest Stats Available,823374,17536,2.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM096L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,96,No Harvest Stats Available,275182,11966,4.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM097L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,97,No Harvest Stats Available,654600,89,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM098L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,98,No Harvest Stats Available,1977182,4754,0.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM099L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,99,No Harvest Stats Available,1803504,4875,0.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM100L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,100,No Harvest Stats Available,1155868,85,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM101L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,101,No Harvest Stats Available,746795,730,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM102L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,102,No Harvest Stats Available,802632,11592,1.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM103L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,103,No Harvest Stats Available,139159,10724,7.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM104L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains   Landowner permission is advisable before applying. Most land is private.,New,No,No,No,No,NA,N,104,No Harvest Stats Available,1569733,63621,4.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM105L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,"105,106","No Harvest Stats Available,No Harvest Stats Available",1870866,3465,0.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM107L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,107,No Harvest Stats Available,1335793,1090,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM109L1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec. 1-14   Late Plains,Plains,New,No,No,No,No,NA,N,109,No Harvest Stats Available,1120275,475,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
